stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
be6ee9cf70a4355ebf31eaa5fce764de,be6ee9cf70a4355ebf31eaa5fce764de,SANTHOME CHURCH,13.03275,80.27755,0
e787f27bec521e887d26860d63b47019,e787f27bec521e887d26860d63b47019,ALL INDIA RADIO LIGHT HOUSE,13.03913,80.27881,0
fpInPVFL,fpInPVFL,KANNAGI NAGAR POLICE STATION,12.93124,80.23841,0
8652157deffe2255b4b18c7c90c500e2,8652157deffe2255b4b18c7c90c500e2,ADYAR SIGNAL,13.00644,80.25747,0
382,382,KUMARAN KUDIL,12.549663,80.143925,0
133,133,OKK.THORAIPAKM SEC.COLONY,12.549663,80.143925,0
148,148,GOVT ESTATE METRO R.S,12.549663,80.143925,0
178,178,MOUNT ROAD T.V.S,12.549663,80.143925,0
56,56,GREAMS ROAD,12.549663,80.143925,0
OQfDwOIF,OQfDwOIF,Perumbakkam TNUHDB,12.87996,80.20993,0
vpgWwDZB,vpgWwDZB,Perumbakkam TNUHDB,12.87995,80.21002,0
12518ace15a486436b2a17347ed9dd7c,12518ace15a486436b2a17347ed9dd7c,SHOLINGANALLUR NUCLUEUS COMPANY,12.87783,80.21967,0
TiulEaYs,TiulEaYs,SANTHOME CHURCH,13.03292,80.27754,0
0acad08a6209a0c42bfde86089dc9124,0acad08a6209a0c42bfde86089dc9124,ALL INDIA RADIO LIGHT HOUSE,13.0392,80.27887,0
641a7f009159bfc5fd9803978f0b4402,641a7f009159bfc5fd9803978f0b4402,TRIPLICANE QUEEN MARYS COLLEGE,13.04558,80.28012,0
163,163,SANTHOME SCHOOL,12.549663,80.143925,0
39,39,D.M.S,12.549663,80.143925,0
157,157,NANDANAM S.H.B,12.549663,80.143925,0
159,159,SAIDAPET,12.549663,80.143925,0
50,50,ANNA UNIVERSITY,12.549663,80.143925,0
217,217,WOMEN'S POLYTECHNIC,12.549663,80.143925,0
144,144,PERUMBAKKAM TNUHDB,12.549663,80.143925,0
37,37,CONCORD,12.549663,80.143925,0
BCwVkMhO,BCwVkMhO,kelambakkam POLICE STATION,12.78534,80.22002,0
CgMBzfIg,CgMBzfIg,ELAVANTHANGAL,12.78062,80.21742,0
OXvlrfnG,OXvlrfnG,CHENGANMAL ROAD JUNCTION,12.7708,80.21319,0
iZfXNAue,iZfXNAue,KELAMBAKKAM VIJAYA SHANTHI LOTUS POND,12.75977,80.20885,0
CqPWXNIf,CqPWXNIf,THAIYUR KOMAN NAGAR,12.75668,80.20719,0
FDrhtNjK,FDrhtNjK,KALAVAKKAM SCHOOL,12.7443,80.20032,0
New122,New122,KALAVAKKAM TEA STALL,12.74182,80.19744,0
ZLCIvgrp,ZLCIvgrp,THIRUPORUR,12.73622,80.19055,0
Uacajbua,Uacajbua,THIRUPORUR TEMPLE,12.72983,80.189,0
wcUGKfLa,wcUGKfLa,THIRUPORUR BUS STAND,12.7222,80.1873,0
HJijptKA,HJijptKA,THIRUPORUR TEMPLE,12.72991,80.18901,0
76a4c5a24c76e538bbecb1a7c470bef9,76a4c5a24c76e538bbecb1a7c470bef9,THIRUPORUR,12.73625,80.19047,0
New123,New123,KALAVAKKAM TEA STALL,12.74182,80.19731,0
tnRCfdJr,tnRCfdJr,KALAVAKKAM SCHOOL,12.74434,80.20024,0
4a2fa2de4c66760b03e404e599da6233,4a2fa2de4c66760b03e404e599da6233,SSN COLLEGE,12.75129,80.20412,0
oeTroIck,oeTroIck,THAIYUR KOMAN NAGAR,12.75695,80.20721,0
BsovYeFI,BsovYeFI,KELAMBAKKAM VIJAYA SHANTHI LOTUS POND,12.76011,80.20893,0
azqUKhQu,azqUKhQu,CHENGANMAL ROAD JUNCTION,12.77087,80.21316,0
hvwrhWFk,hvwrhWFk,ELAVANTHANGAL,12.78062,80.21723,0
ngtiheSM,ngtiheSM,kelambakkam GENERAL HOSPITAL,12.78667,80.22051,0
IyDNJzPw,IyDNJzPw,SIRUSERI SIPCOT,12.83102,80.22942,0
gzZgDndk,gzZgDndk,M.G.R.CENTRAL R.S,13.08202,80.2756,0
KwaxxmSs,KwaxxmSs,PARK TOWN NURSE QUARTERS,13.08218,80.27897,0
neNWquOh,neNWquOh,CENTRAL DENTAL COLLEGE,13.08293,80.28209,0
7cb0b14d6a6c27e05eeb93d42a3668c4,7cb0b14d6a6c27e05eeb93d42a3668c4,BROADWAY,13.08691,80.28489,0
yHDouIXe,yHDouIXe,ARUNACHALAPURAM,13.00877,80.25924,0
f2e85fa688a8b88d078ffe3c12592790,f2e85fa688a8b88d078ffe3c12592790,SSN COLLAGE,12.75113,80.20411,0
187,187,THIRUPORUR,12.549663,80.143925,0
81,81,KALAVAKKAM TEA STALL,12.549663,80.143925,0
92,92,KOMAN NAGAR RD.JN,12.549663,80.143925,0
26,26,CHENGANMAL RD.JN,12.549663,80.143925,0
222,222,ADYAR SIGNAL (MALAR HOSPITAL),12.549663,80.143925,0
6,6,ADYAR B.T,12.549663,80.143925,0
188,188,THIRUVANMIYUR,12.549663,80.143925,0
93,93,KOTTIVAKKAM,12.549663,80.143925,0
135,135,PALAVAKKAM,12.549663,80.143925,0
129,129,NEELANKARAI,12.549663,80.143925,0
214,214,VETTUVANKENI,12.549663,80.143925,0
31,31,CHOLA MANDAL,12.549663,80.143925,0
